"currentDate","currentTime","point0","point1","currentSpeed","freeFlowSpeed","currentTravelTime","freeFlowTravelTime","id"
"2022-10-08","14:30:13",19.0438,73.0273,43,52,1364,1128,372
"2022-10-08","14:30:13",18.9681,73.1316,71,71,136,136,373
"2022-10-08","14:30:13",19.0007,73.1299,78,78,455,455,374
"2022-10-08","14:30:13",18.9662,73.126,56,61,1876,1722,375
"2022-10-08","14:30:13",18.9748,73.1242,29,44,869,573,376
"2022-10-08","14:30:13",18.9831,73.0809,25,27,1471,1362,377
"2022-10-08","14:30:13",19.0186,73.0283,48,48,648,648,378
"2022-10-08","14:30:13",18.9832,73.1008,20,30,565,377,379
"2022-10-08","14:30:13",18.9645,73.131,44,55,2294,1835,380
"2022-10-08","14:30:13",19.0005,73.0337,48,48,648,648,381
"2022-10-08","14:30:13",19.0237,73.1059,28,40,478,335,382
"2022-10-08","14:45:13",18.9681,73.1316,71,71,136,136,383
"2022-10-08","14:45:13",18.9588,73.1594,49,49,50,50,384
"2022-10-08","14:45:13",18.9941,73.1148,33,44,764,573,385
"2022-10-08","14:45:13",18.9632,73.1425,25,35,337,240,386
"2022-10-08","14:45:13",18.9748,73.1242,33,44,764,573,387
"2022-10-08","14:45:13",18.9926,73.0957,45,56,373,300,388
"2022-10-08","14:45:13",18.9859,73.1198,19,23,259,214,389
"2022-10-08","14:45:13",18.9561,73.1617,53,53,903,903,390
"2022-10-08","14:45:13",19.0007,73.1299,78,78,455,455,391
"2022-10-08","14:45:13",18.9662,73.126,57,61,1843,1722,392
"2022-10-08","14:45:13",18.9832,73.1008,19,30,595,377,393
"2022-10-08","14:45:13",19.0438,73.0273,43,52,1364,1128,394
"2022-10-08","14:45:13",19.0237,73.1059,27,41,496,327,395
"2022-10-08","14:45:13",18.9607,73.1655,43,47,184,169,396
"2022-10-08","14:45:13",19.0005,73.0337,48,48,648,648,397
"2022-10-08","14:45:13",19.0269,73.0939,43,52,1364,1128,398
"2022-10-08","14:45:13",18.9831,73.0809,25,27,1471,1362,399
